sku,manufacturer_sku,manufacturer_name,short_description,sell_price,srp_price,currency_id,wequote_id
9160335-S-SAV,,SAVANT,"2N ACCESS UNIT 2.0 BLUETOOTH & RFID 125KHZ, SECURED 13.56MHZ, NFC",37306.96,0,ZAR,1207677
9160344-S-SAV,,SAVANT,2N ACCESS UNIT 2.0 RFID MULTIFREQUENCY READER,28827.83,0,ZAR,1207683
9160336-S-SAV,,SAVANT,"2N ACCESS UNIT 2.0 TOUCH KEYPAD & RFID 125KHZ, SECURED 13.56MHZ, NFC",30523.48,0,ZAR,1207682
9160335-S-SAVFB,,SAVANT,2N FLUSH MOUNT ACCESS UNIT BUNDLE BLACK,42393.91,0,ZAR,1207678
9160335-S-SAVFN,,SAVANT,2N FLUSH MOUNT ACCESS UNIT BUNDLE SILVER,42393.91,0,ZAR,1207679
9151101CHRPW-SAV,,SAVANT,2N IP FORCE - PICTOGRAMS + 1 BUTTON + HD CAMERA + RFID READER,50873.04,0,ZAR,1207652
9159014US,,SAVANT,2N IP INTERCOM 2WIRE,13129.57,0,ZAR,1207676
9155034,,SAVANT,2N IP VERSO - 2 INPUT 2 OUTPUT RELAYS,0,0,ZAR,1207663
9155014,,SAVANT,"2N IP VERSO - BOX FOR FLUSH INSTALLATION, 1 MODULE (MUST BE TOGETHER WITH 9155011 OR 9155011B)",0,0,ZAR,1207656
9155045,,SAVANT,2N IP VERSO - FINGERPRINT READER,28315.1,0,ZAR,1207667
9155011,,SAVANT,"2N IP VERSO - FRAME FOR FLUSH INSTALLATION, 1 MODULE (MUST BE TOGETHER WITH 9155014)",0,0,ZAR,1207654
9155011B,,SAVANT,"2N IP VERSO - FRAME FOR FLUSH INSTALLATION, 1 MODULE - BLACK (MUST BE TOGETHER WITH 9155014)",3487.83,0,ZAR,1207655
9155021,,SAVANT,"2N IP VERSO - FRAME FOR SURFACE INSTALLATION, 1 MODULE",0,0,ZAR,1207659
9155021B,,SAVANT,"2N IP VERSO - FRAME FOR SURFACE INSTALLATION, 1 MODULE - BLACK",2325.22,0,ZAR,1207660
9155037,,SAVANT,2N IP VERSO - WIEGAND MODULE,0,0,ZAR,1207665
9155084,,SAVANT,"2N IP VERSO BLUETOOTH & RFID READER (125KHZ, SECURED 13.56MHZ UID+PACS ID, NFC)",0,0,ZAR,1207673
9155083,,SAVANT,"2N IP VERSO TOUCH KEYPAD & RFID READER (125KHZ, SECURED 13.56MHZ UID+PACS ID, NFC)",0,0,ZAR,1207672
9134173,,SAVANT,2N MIFARE RFID CARD 13.56MHZ,0,0,ZAR,1207645
9134174,,SAVANT,2N MIFARE RFID KEY FOB 13.56MHZ,0,0,ZAR,1207646
11202101,,SAVANT,2N MINI ELECTRONIC DOORSTRIKE SERIES 5,0,0,ZAR,1207540
11202106,,SAVANT,2N MINI ELECTRONIC DOORSTRIKE SERIES 5,0,0,ZAR,1207545
11202104,,SAVANT,2N MINI ELECTRONIC DOORSTRIKE SERIES 5 DOOR SIGNALING,0,0,ZAR,1207543
11202105,,SAVANT,2N MINI ELECTRONIC DOORSTRIKE SERIES 5 FAIL SAFE,0,0,ZAR,1207544
11202103,,SAVANT,2N MINI ELECTRONIC DOORSTRIKE SERIES 5 WITH MECHANICAL BLOCKING,0,0,ZAR,1207542
11202102,,SAVANT,2N MINI ELECTRONIC DOORSTRIKE SERIES 5 WITH MOMENTUM PIN,0,0,ZAR,1207541
9155086,,SAVANT,2N RFID MODULE,0,0,ZAR,1207674
9151031S,,SAVANT,2N SECURED CARD READER NFC READY 13.56MHZ FOR IP FORCE,12790.43,0,ZAR,1207651
9159010,,SAVANT,2N SECURITY RELAY,0,0,ZAR,1207675
9160335-S-SAVSB,,SAVANT,2N SURFACE MOUNT ACCESS UNIT BUNDLE BLACK,39002.61,0,ZAR,1207680
9160335-S-SAVSN,,SAVANT,2N SURFACE MOUNT ACCESS UNIT BUNDLE SILVER,39002.61,0,ZAR,1207681
9155072,,SAVANT,2N WEDGE BACKPLATE 2M VERSO,0,0,ZAR,1207671
9155071,,SAVANT,2N WEDGE BACKPLATE SOLO,0,0,ZAR,1207670
HRA2,,Parasound,2U Rack kit--fits A23 JC3+ P7 P5,2607.83,0,ZAR,1208539
RCK-5000-00,,SAVANT,2U RACK SHELF,8128.7,0,ZAR,1209297
CON-STC3-00,,SAVANT,3-PIN SCREW-DOWN CONNECTOR 25-PACK,1663.48,0,ZAR,1208118
HDM48CAR300BRD,,AudioQuest,3.0M 48G BRAIDED CARBON HDMI,7652.17,0,ZAR,1208518
HDM48CIN300BRD,,AudioQuest,3.0M 48G BRAIDED CINNAMON HDMI,4782.61,0,ZAR,1208523
HDM48FOR300,,AudioQuest,3.0M 48G FOREST HDMI,2521.74,0,ZAR,1208527
HDM48PEA300,,AudioQuest,3.0M 48G PEARL HDMI,1565.22,0,ZAR,1208531
BLAB03,,AudioQuest,3.0M BLACK LAB SUBWOOFER,1217.39,0,ZAR,1208000
NVR-EL32-2U12MP1-8TB,,ICRealtime,32 CH. EMBEDDED 4K 2U NVR ENHANCED H.264 SUPPORTS UPTO 12MP 8TB INCLUDED (MADE IN KOREA),115176.52,0,ZAR,1208818
SLIMMAX8K3M,,HDANYWHERE,3m 8K Ultra High Speed Slimwire Max (48G),955.65,0,ZAR,1209489
HRA3,,Parasound,3U Rack kit--fits JC2 BP Halo Integrated,2607.83,0,ZAR,1208540
SHA-C4IN-10,,SAVANT,"4"" NEGATIVE REVEAL POCKET",7887.83,0,ZAR,1209453
LX-UH1B,,JVC Projectors,4K (UHD) TRP DMD technology delivers 4K (3840 x 2160) images HDR support 2000 lumens,52173.04,0,ZAR,1208691
HRX-4KVLC100-00,,SAVANT,4K HDR HDBASET MATRIX RECEIVER 100M,10852.17,0,ZAR,1208542
HRX-4KVLC40-00,,SAVANT,4K HDR HDBASET MATRIX RECEIVER 40M,8139.13,0,ZAR,1208543
SLN-44VLC4K-00,,SAVANT,4K HDR HDBASET MATRIX SWITCHER 4 X 4,94963.48,0,ZAR,1209490
SLN-88VLC4K-00,,SAVANT,4K HDR HDBASET MATRIX SWITCHER 8 X 8,203493.04,0,ZAR,1209491
ORB-OUTDOOR,,ICRealtime,4MP INDOOR/OUTDOOR PT WIFI CAMERA BUILT-IN MICROPHONE & SPEAKER 98FT IR IC-HOME CLOUD SERVICE,5720.87,0,ZAR,1208879
MOTU AVB,,SAVANT,5 PORT AVB COMPLIANT SWITCH,13898.26,0,ZAR,1208760
HDM48CIN500,,AudioQuest,5.0M 48G CINNAMON HDMI,8260.87,0,ZAR,1208524
HDM48FOR500,,AudioQuest,5.0M 48G FOREST HDMI,5739.13,0,ZAR,1208528
HDM48PEA500,,AudioQuest,5.0M 48G PEARL HDMI,3826.09,0,ZAR,1208532
BLAB05,,AudioQuest,5.0M BLACK LAB SUBWOOFER,1478.26,0,ZAR,1208001
5250 Part,,Parasound,5250 Power Button Assembly,31295.65,0,ZAR,1207571
RCK-PAVVM8-00,,SAVANT,5U RACK MOUNT SHELF FOR UP TO 8 SINGLE VIDEO INPUT UNITS,11490.43,0,ZAR,1209298
SHA-C6IN-10,,SAVANT,"6"" NEGATIVE REVEAL POCKET",8332.17,0,ZAR,1209454
CON-STC6-00,,SAVANT,6-PIN SCREW-DOWN CONNECTOR 25-PACK,3327.83,0,ZAR,1208119
NVR-EL64-2U12MP1-10TB,,ICRealtime,64 CH. EMBEDDED 4K 2U NVR ENHANCED H.264 SUPPORTS UPTO 12MP 10TB INCLUDED (MADE IN KOREA),144001.74,0,ZAR,1208819
HDMFOR07.5A,,AudioQuest,7.5M FOREST HDMI ACTIVE,6521.74,0,ZAR,1208533
NVR-EG08POE-1U4K1-2TB,,ICRealtime,8 CHANNEL 1U SHEL NVR. 8 PORT POE SWITCH.8MP IP CAMERA SUPPORT. 80MBPSTHROUGHPUT 2TB INCLUDED,17528.7,0,ZAR,1208814
AMP-8125-00,,SAVANT,8-CHANNEL DIGITAL AUDIO AMPLIFIER,66640.87,0,ZAR,1207960
NVR-FX08POE-1U4K1-2TB,,ICRealtime,8CH IP 1U RACK NVR-2HDD BAY-IP 8MP/30FPS-8 PORT POE SWITCH 2TB INCLUDED   (MADE IN KOREA),35553.91,0,ZAR,1208821
NVR-MX08POE-1U4K1-2TB,,ICRealtime,8CH IP 1U SHELF NVR-2HDD BAY-IP 8MP/30FPS(128MBPS)-8 PORT POE SWITCH 2TB INCLUDED (MADE IN KOREA),30506.96,0,ZAR,1208827
IPEL-P8040-IRW1-AI,,ICRealtime,8MP IP FULL SIZE 4K STARLIGHT PTZ 40X OPTICAL ZOOM. 1640 FEET SMART IR HI-POE CAPABLE. AI (A,135589.57,0,ZAR,1208609
IPFX-D80V-IRW1,,ICRealtime,8MP IP In/Outdoor Mid Size Vandal Dome Varifocal 2.7-12mm Motorized Lens (110° - 40°)164 Ft Smart IR,22309.57,0,ZAR,1208615
IPEL-B80F-IRW2,,ICRealtime,8MP IP INDOOR/OUTDOOR SMALL SIZE BULLET. FIXED 2.8MM LENS 98.4 FEET SMART IR. POE CAPABLE. AI,9286.96,0,ZAR,1208590
CON-STC9-00,,SAVANT,9-PIN SCREW-DOWN CONNECTOR 25-PACK,4992.17,0,ZAR,1208120
A320WH,,Jamo,A 320 White,1469.57,0,ZAR,1207946
A345WH,,Jamo,A 345 In/Outdoor White,2339.13,0,ZAR,1207947
A500WH,,Jamo,A 500 White,2607.83,0,ZAR,1207949
OSL-SMRTPREM-00,,SAVANT,ACTIVATION LICENSE FOR PREMIUM FEATURES IN SMART HOST,9669.2667,0,ZAR,1208884
ACTIVEWIRE10M,,HDANYWHERE,Active HDMI 10m,3043.48,0,ZAR,1207955
ACTIVEMAX10M,,HDANYWHERE,Active MAX HDMI 10m,4173.91,0,ZAR,1207952
ACTIVEMAX15M,,HDANYWHERE,Active MAX HDMI 15m,4304.35,0,ZAR,1207953
ACTIVEMAX8M,,HDANYWHERE,Active MAX HDMI 8m,3608.7,0,ZAR,1207954
PFIXPLANO-00180,,Adeo Screens,Adeo Plano 135 Vision Acoustik,40417.39,0,ZAR,1209036
KLDD1FCG.,,Black Nova,Alba 8b 1f Crestron Glass,13200,0,ZAR,1208674
DLBE12C,,Black Nova,Alba collection Back End 12 buttons Crestron,10266.96,0,ZAR,1208162
DLBE12K,,Black Nova,Alba collection Back End 12 buttons KNX,10266.96,0,ZAR,1208163
DLBE12R,,Black Nova,Alba collection Back End 12 buttons RS485,10266.96,0,ZAR,1208164
DLBEM1C,,Black Nova,Alba collection Back End Multipurpose/Temperature control interface Crestron,12406.09,0,ZAR,1208165
DLBEM1K,,Black Nova,Alba collection Back End Multipurpose/Temperature control interface KNX,12406.09,0,ZAR,1208166
DLBEM1R,,Black Nova,Alba collection Back End Multipurpose/Temperature control interface RS485,12406.09,0,ZAR,1208167
DLFR2FXGIWKPKP,,Black Nova,Alba collection Frame double frame Glass Ice White  Combination: Keypad  Keypad,4278.26,0,ZAR,1208214
DLFR2FXGIWKPM1,,Black Nova,Alba collection Frame double frame Glass Ice White  Combination: Keypad  Multipurpose/Temperature,4278.26,0,ZAR,1208215
DLFR2FXGIWM1KP,,Black Nova,Alba collection Frame double frame Glass Ice White  Combination: Multipurpose/Temperature control i,4278.26,0,ZAR,1208216
DLFR2FXGIWM1M1,,Black Nova,Alba collection Frame double frame Glass Ice White  Combination: Multipurpose/Temperature control i,4278.26,0,ZAR,1208217
