odoo_id,sku,display_name,list_price,standard_price
13705,IPEG-B20F-IRW2,[IPEG-B20F-IRW2] 2MP IP INDOOR/OUTDOOR SMALL SIZE BULLET. FIXED 2.8MM LENS (110Â°). 98 FEET IR. POE CAPABLE.,4280.87,2568.53
13710,IPEG-D20F-IRW2,[IPEG-D20F-IRW2] 2MP IP INDOOR/OUTDOOR SMALL SIZE VANDAL DOME FIXED 2.8MM LENS (110. 98 FEET IR POE CAPABLE,3711.3,2226.79
13714,IPEG-E20F-IRW2,[IPEG-E20F-IRW2] 2MP IP INDOOR/OUTDOOR SMALL VANDAL EYEBALL DOME. FIXED 2.8MM LENS (110Â°). 98 FEET IR. POE CAPABLE.,3752.17,2251.31
13688,GUARDI,[GUARDI] 2MP WIFI INDOOR CAMERA. DASH CLOUD SERVICE WITH DASH APP.,2720.87,2176.7
14987,9160335-S-SAV,"[9160335-S-SAV] 2N ACCESS UNIT 2.0 BLUETOOTH & RFID 125KHZ, SECURED 13.56MHZ, NFC",37306.96,26114.87
14993,9160344-S-SAV,[9160344-S-SAV] 2N ACCESS UNIT 2.0 RFID MULTIFREQUENCY READER,28827.83,20179.48
14992,9160336-S-SAV,"[9160336-S-SAV] 2N ACCESS UNIT 2.0 TOUCH KEYPAD & RFID 125KHZ, SECURED 13.56MHZ, NFC",30523.48,21366.44
14988,9160335-S-SAVFB,[9160335-S-SAVFB] 2N FLUSH MOUNT ACCESS UNIT BUNDLE BLACK,42393.91,29675.74
14989,9160335-S-SAVFN,[9160335-S-SAVFN] 2N FLUSH MOUNT ACCESS UNIT BUNDLE SILVER,42393.91,29675.74
14982,9151101CHRPW-SAV,[9151101CHRPW-SAV] 2N IP FORCE - PICTOGRAMS + 1 BUTTON + HD CAMERA + RFID READER,50873.04,35611.14
14986,9159014US,[9159014US] 2N IP INTERCOM 2WIRE,13129.57,9190.7
14962,9155034,[9155034] 2N IP VERSO - 2 INPUT 2 OUTPUT RELAYS,0,0
14957,9155014,"[9155014] 2N IP VERSO - BOX FOR FLUSH INSTALLATION, 1 MODULE (MUST BE TOGETHER WITH 9155011 OR 9155011B)",0,0
14966,9155045,[9155045] 2N IP VERSO - FINGERPRINT READER,0,0
14956,9155011,"[9155011] 2N IP VERSO - FRAME FOR FLUSH INSTALLATION, 1 MODULE (MUST BE TOGETHER WITH 9155014)",0,0
14983,9155011B,"[9155011B] 2N IP VERSO - FRAME FOR FLUSH INSTALLATION, 1 MODULE - BLACK (MUST BE TOGETHER WITH 9155014)",3487.83,2441.48
14960,9155021,"[9155021] 2N IP VERSO - FRAME FOR SURFACE INSTALLATION, 1 MODULE",0,0
14984,9155021B,"[9155021B] 2N IP VERSO - FRAME FOR SURFACE INSTALLATION, 1 MODULE - BLACK",2325.22,1627.66
14964,9155037,[9155037] 2N IP VERSO - WIEGAND MODULE,0,0
14972,9155084,"[9155084] 2N IP VERSO BLUETOOTH & RFID READER (125KHZ, SECURED 13.56MHZ UID+PACS ID, NFC)",0,0
14971,9155083,"[9155083] 2N IP VERSO TOUCH KEYPAD & RFID READER (125KHZ, SECURED 13.56MHZ UID+PACS ID, NFC)",0,0
14955,9134174,[9134174] 2N MIFARE RFID KEY FOB 13.56MHZ,0,0
14975,11202101,[11202101] 2N MINI ELECTRONIC DOORSTRIKE SERIES 5,0,0
14980,11202106,[11202106] 2N MINI ELECTRONIC DOORSTRIKE SERIES 5,0,0
14978,11202104,[11202104] 2N MINI ELECTRONIC DOORSTRIKE SERIES 5 DOOR SIGNALING,0,0
14979,11202105,[11202105] 2N MINI ELECTRONIC DOORSTRIKE SERIES 5 FAIL SAFE,0,0
14977,11202103,[11202103] 2N MINI ELECTRONIC DOORSTRIKE SERIES 5 WITH MECHANICAL BLOCKING,0,0
14976,11202102,[11202102] 2N MINI ELECTRONIC DOORSTRIKE SERIES 5 WITH MOMENTUM PIN,0,0
14973,9155086,[9155086] 2N RFID MODULE,0,0
14981,9151031S,[9151031S] 2N SECURED CARD READER NFC READY 13.56MHZ FOR IP FORCE,12790.43,8953.31
14974,9159010,[9159010] 2N SECURITY RELAY,0,0
14990,9160335-S-SAVSB,[9160335-S-SAVSB] 2N SURFACE MOUNT ACCESS UNIT BUNDLE BLACK,39002.61,27301.83
14991,9160335-S-SAVSN,[9160335-S-SAVSN] 2N SURFACE MOUNT ACCESS UNIT BUNDLE SILVER,39002.61,27301.83
14970,9155072,[9155072] 2N WEDGE BACKPLATE 2M VERSO,0,0
14969,9155071,[9155071] 2N WEDGE BACKPLATE SOLO,0,0
15199,RCK-5000-00,[RCK-5000-00] 2U RACK SHELF,8128.7,4877.22
13665,SLIMMAX8K2M,[SLIMMAX8K2M] 2m 8K Ultra High Speed Slimwire Max (48G),868.7,521.22
15046,CON-STC3-00,[CON-STC3-00] 3-PIN SCREW-DOWN CONNECTOR 25-PACK,1663.48,998.09
13217,HDM48CAR300BRD,[HDM48CAR300BRD] 3.0M 48G BRAIDED CARBON HDMI,7652.17,5356.52
13222,HDM48CIN300BRD,[HDM48CIN300BRD] 3.0M 48G BRAIDED CINNAMON HDMI,4782.61,3347.83
13226,HDM48FOR300,[HDM48FOR300] 3.0M 48G FOREST HDMI,2521.74,1765.22
13230,HDM48PEA300,[HDM48PEA300] 3.0M 48G PEARL HDMI,1565.22,1095.65
13194,BLAB03,[BLAB03] 3.0M BLACK LAB SUBWOOFER,1217.39,852.17
13772,NVR-EL32-2U12MP1-8TB,[NVR-EL32-2U12MP1-8TB] 32 CH. EMBEDDED 4K 2U NVR ENHANCED H.264 SUPPORTS UPTO 12MP 8TB INCLUDED (MADE IN KOREA),115176.52,69105.92
13666,SLIMMAX8K3M,[SLIMMAX8K3M] 3m 8K Ultra High Speed Slimwire Max (48G),955.65,573.39
15274,SHA-C4IN-10,"[SHA-C4IN-10] 4"" NEGATIVE REVEAL POCKET",7887.83,6310.27
13914,LX-UH1B,[LX-UH1B] 4K (UHD) TRP DMD technology delivers 4K (3840 x 2160) images HDR support 2000 lumens,52173.04,39129.78
15126,HRX-4KVLC100-00,[HRX-4KVLC100-00] 4K HDR HDBASET MATRIX RECEIVER 100M,10852.17,6511.31
15127,HRX-4KVLC40-00,[HRX-4KVLC40-00] 4K HDR HDBASET MATRIX RECEIVER 40M,8139.13,4883.48
15296,SLN-44VLC4K-00,[SLN-44VLC4K-00] 4K HDR HDBASET MATRIX SWITCHER 4 X 4,94963.48,56978.09
15297,SLN-88VLC4K-00,[SLN-88VLC4K-00] 4K HDR HDBASET MATRIX SWITCHER 8 X 8,203493.04,122095.83
13786,ORB-OUTDOOR,[ORB-OUTDOOR] 4MP INDOOR/OUTDOOR PT WIFI CAMERA BUILT-IN MICROPHONE & SPEAKER 98FT IR IC-HOME CLOUD SERVICE,5720.87,4576.7
15158,MOTU AVB,[MOTU AVB] 5 PORT AVB COMPLIANT SWITCH,13898.26,11118.61
13223,HDM48CIN500,[HDM48CIN500] 5.0M 48G CINNAMON HDMI,8260.87,5782.61
13227,HDM48FOR500,[HDM48FOR500] 5.0M 48G FOREST HDMI,5739.13,4017.39
13231,HDM48PEA500,[HDM48PEA500] 5.0M 48G PEARL HDMI,3826.09,2678.26
13195,BLAB05,[BLAB05] 5.0M BLACK LAB SUBWOOFER,1478.26,1034.78
13998,5250 Part,[5250 Part] 5250 Power Button Assembly,31295.65,933.58
15200,RCK-PAVVM8-00,[RCK-PAVVM8-00] 5U RACK MOUNT SHELF FOR UP TO 8 SINGLE VIDEO INPUT UNITS,11490.43,6894.27
15275,SHA-C6IN-10,"[SHA-C6IN-10] 6"" NEGATIVE REVEAL POCKET",8332.17,6665.74
15047,CON-STC6-00,[CON-STC6-00] 6-PIN SCREW-DOWN CONNECTOR 25-PACK,3327.83,1996.7
13773,NVR-EL64-2U12MP1-10TB,[NVR-EL64-2U12MP1-10TB] 64 CH. EMBEDDED 4K 2U NVR ENHANCED H.264 SUPPORTS UPTO 12MP 10TB INCLUDED (MADE IN KOREA),144001.74,86401.05
13232,HDMFOR07.5A,[HDMFOR07.5A] 7.5M FOREST HDMI ACTIVE,6521.74,4565.22
13768,NVR-EG08POE-1U4K1-2TB,[NVR-EG08POE-1U4K1-2TB] 8 CHANNEL 1U SHEL NVR. 8 PORT POE SWITCH.8MP IP CAMERA SUPPORT. 80MBPSTHROUGHPUT 2TB INCLUDED,17528.7,10517.22
14994,AMP-8125-00,[AMP-8125-00] 8-CHANNEL DIGITAL AUDIO AMPLIFIER,66640.87,39984.53
13775,NVR-FX08POE-1U4K1-2TB,[NVR-FX08POE-1U4K1-2TB] 8CH IP 1U RACK NVR-2HDD BAY-IP 8MP/30FPS-8 PORT POE SWITCH 2TB INCLUDED   (MADE IN KOREA),35553.91,21332.35
13781,NVR-MX08POE-1U4K1-2TB,[NVR-MX08POE-1U4K1-2TB] 8CH IP 1U SHELF NVR-2HDD BAY-IP 8MP/30FPS(128MBPS)-8 PORT POE SWITCH 2TB INCLUDED (MADE IN KOREA),30506.96,18304.18
13739,IPEL-P8040-IRW1-AI,[IPEL-P8040-IRW1-AI] 8MP IP FULL SIZE 4K STARLIGHT PTZ 40X OPTICAL ZOOM. 1640 FEET SMART IR HI-POE CAPABLE. AI (A,135589.57,81353.74
13720,IPEL-B80F-IRW2,[IPEL-B80F-IRW2] 8MP IP INDOOR/OUTDOOR SMALL SIZE BULLET. FIXED 2.8MM LENS 98.4 FEET SMART IR. POE CAPABLE. AI,9286.96,5572.18
13745,IPFX-D80V-IRW1,[IPFX-D80V-IRW1] 8MP IP In/Outdoor Mid Size Vandal Dome Varifocal 2.7-12mm Motorized Lens (110° - 40°)164 Ft Smart IR,22309.57,13385.74
15048,CON-STC9-00,[CON-STC9-00] 9-PIN SCREW-DOWN CONNECTOR 25-PACK,4992.17,2995.31
13813,A320WH,[A320WH] A 320 White,1469.57,881.74
13814,A345WH,[A345WH] A 345 In/Outdoor White,2339.13,1403.48
13815,A500WH,[A500WH] A 500 White,2607.83,1825.48
15163,OSL-SMRTPREM-00,[OSL-SMRTPREM-00] ACTIVATION LICENSE FOR PREMIUM FEATURES IN SMART HOST,9086.96,5452.18
13484,ALTECO C-1 B,[ALTECO C-1 B] ALTECO C-1 BLACK ATMOS SPEAKER,6860.87,4116.52
13486,ALTECO C-1 WAL,[ALTECO C-1 WAL] ALTECO C-1 WALNUT ATMOS SPEAKER,6860.87,4116.52
13485,ALTECO C-1 W,[ALTECO C-1 W] ALTECO C-1 WHITE ATMOS SPEAKER,6860.87,4116.52
15278,SHA-EHBAL10-00,[SHA-EHBAL10-00] ALUMINUM SHADE BRACKET HANGER BOLT 10 PACK,1263.48,1010.79
14995,ARCHT-6,[ARCHT-6] ARCHITECTURAL 6.5 INCH 2-WAY STEREO IN-CEILING / PAIR,15958.26,9574.96
14996,ARCHT-6-PCB,[ARCHT-6-PCB] ARCHITECTURAL 6.5 INCH PRE-CONSTRUCTION BRACKETS / PAIR,82.61,49.57
14997,ARCHT-6-RG,[ARCHT-6-RG] ARCHITECTURAL 6.5 INCH REPLACEMENT ROUND GRILLE / EACH,1020.87,612.53
14999,ARCHT-6-SSTT,[ARCHT-6-SSTT] ARCHITECTURAL 6.5 INCH SINGLE STEREO TWIN TWEETER STEREO IN-CEILING / EACH,8777.39,5266.44
14998,ARCHT-6-SG,[ARCHT-6-SG] ARCHITECTURAL 6.5 INCH SQUARE GRILLE / EACH,1020.87,612.53
15000,ARCHT-8,[ARCHT-8] ARCHITECTURAL 8 INCH 2-WAY STEREO IN-CEILING / PAIR,19150.43,11490.27
15001,ARCHT-8-PCB,[ARCHT-8-PCB] ARCHITECTURAL 8 INCH PRE-CONSTRUCTION BRACKETS / PAIR,82.61,49.57
15002,ARCHT-8-RG,[ARCHT-8-RG] ARCHITECTURAL 8 INCH REPLACEMENT ROUND GRILLE / EACH,1020.87,612.53
15004,ARCHT-8-SSTT,[ARCHT-8-SSTT] ARCHITECTURAL 8 INCH SINGLE STEREO TWIN TWEETER STEREO IN-CEILING / EACH,11490.43,6894.27
15003,ARCHT-8-SG,[ARCHT-8-SG] ARCHITECTURAL 8 INCH SQUARE GRILLE / EACH,1020.87,612.53
15366,WFB-MBLVC-00,[WFB-MBLVC-00] ASCEND BUTTON KIT (BLACK),3958.26,2374.96
15341,WFB-BALVC-00,[WFB-BALVC-00] ASCEND BUTTON KIT (BRUSHED ALUMINUM),3958.26,2374.96
15346,WFB-BBLVC-00,[WFB-BBLVC-00] ASCEND BUTTON KIT (BRUSHED BLACK),3958.26,2374.96
15351,WFB-BRLVC-00,[WFB-BRLVC-00] ASCEND BUTTON KIT (BRUSHED BRASS),3958.26,2374.96
15356,WFB-BZLVC-00,[WFB-BZLVC-00] ASCEND BUTTON KIT (BRUSHED BRONZE),3958.26,2374.96
15361,WFB-LALVC-00,[WFB-LALVC-00] ASCEND BUTTON KIT (LIGHT ALMOND),3958.26,2374.96
15376,WFB-MNLVC-00,[WFB-MNLVC-00] ASCEND BUTTON KIT (NICKEL),3958.26,2374.96
15381,WFB-SWLVC-00,[WFB-SWLVC-00] ASCEND BUTTON KIT (SNOW WHITE),3958.26,2374.96
15371,WFB-MGLVC-00,[WFB-MGLVC-00] ASCEND BUTTON KIT (SPACE GRAY),3958.26,2374.96
