sku,product_name,brand,wequote_sell_price_zar,odoo_sales_price_zar,price_diff_wequote_minus_odoo,odoo_cost_price_zar,wequote_msrp_zar,status
V10B+,V10+ Black,M&K Sound,37226.087,26955.65,10270.436999999998,16908.55,0.0,Matched - PRICE MISMATCH
V12B+,V12+ Black,M&K Sound,51382.6087,36520.87,14861.738699999994,22908.55,0.0,Matched - PRICE MISMATCH
V12W+,V12+ White,M&K Sound,51382.6087,36520.87,14861.738699999994,22908.55,0.0,Matched - PRICE MISMATCH
V15B+,V15+ Black,M&K Sound,79478.2609,56520.87,22957.39089999999,35454.0,0.0,Matched - PRICE MISMATCH
VA500,VA500 Amp,M&K Sound,34286.9565,23477.39,10809.5665,14726.73,0.0,Matched - PRICE MISMATCH
WFB-BZLV04-00,ASCEND LOW VOLTAGE KEYPAD - 4 BUTTON (BRUSHED BRONZE),SAVANT,10982.6087,11191.3,-208.6912999999986,6714.79,0.0,Matched - PRICE MISMATCH
WFB-SWENGV-00,ASCEND ENGRAVING (SNOW WHITE),SAVANT,2173.913,1167.83,1006.0830000000001,817.48,0.0,Matched - PRICE MISMATCH
WPB-SWLV06-00,ECHO LOW VOLTAGE CONFIGURABLE KEYPAD (SNOW WHITE),SAVANT,7965.2174,6155.65,1809.5674000000008,4308.96,0.0,Matched - PRICE MISMATCH
X10B+,X10+ Black,M&K Sound,118086.9565,82607.83,35479.1265,51817.64,0.0,Matched - PRICE MISMATCH
X15B+,X15+ Black,M&K Sound,169852.1739,121738.26,48113.9139,76363.09,0.0,Matched - PRICE MISMATCH
XTNDA300,HDANYWHERE  XTND 300m Audio Extender,HDANYWHERE,3478.2609,5216.52,-1738.2591000000002,0.0,0.0,Matched - PRICE MISMATCH
1068258,C910 AMP MODULE,Jamo,6956.52,6956.52,0.0,4868.96,0.0,Matched - price identical
1071179,Jamo Studio 7 S15B Bookshelf Surround Speaker Blue Fjord,Jamo,6955.65,6955.65,0.0,5216.74,0.0,Matched - price identical
1071180,Jamo Studio 7 S15B Bookshelf Surround Speaker Grey Cloud,Jamo,6955.65,6955.65,0.0,5216.74,0.0,Matched - price identical
1071181,Jamo Studio 7 S17B Bookshelf Speaker Blue Fjord,Jamo,8694.78,8694.78,0.0,6521.09,0.0,Matched - price identical
1071182,Jamo Studio 7 S17B Bookshelf Speaker Grey Cloud,Jamo,8694.78,8694.78,0.0,6521.09,0.0,Matched - price identical
1071183,Jamo Studio 7 S25C Centre Channel Speaker Blue Fjord,Jamo,5216.52,5216.52,0.0,3912.39,0.0,Matched - price identical
1071184,Jamo Studio 7 S25C Centre Channel Speaker Grey Cloud,Jamo,5216.52,5216.52,0.0,3912.39,0.0,Matched - price identical
1071185,Jamo Studio 7 S25F Floorstanding Speaker Blue Fjord,Jamo,12607.83,12607.83,0.0,9455.87,0.0,Matched - price identical
1071187,Jamo Studio 7 S27F Floorstanding Speaker Blue Fjord,Jamo,15216.52,15216.52,0.0,11412.39,0.0,Matched - price identical
1071188,Jamo Studio 7 S27F Floorstanding Speaker Grey Cloud,Jamo,15216.52,15216.52,0.0,11412.39,0.0,Matched - price identical
1071189,Jamo Studio 7 S43C Center Channel Speaker Blue Fjord,Jamo,5216.52,5216.52,0.0,3912.39,0.0,Matched - price identical
1071190,Jamo Studio 7 S43C Center Channel Speaker Grey Cloud,Jamo,5216.52,5216.52,0.0,3912.39,0.0,Matched - price identical
11202101,2N MINI ELECTRONIC DOORSTRIKE SERIES 5,SAVANT,0.0,0.0,0.0,0.0,0.0,Matched - price identical
11202102,2N MINI ELECTRONIC DOORSTRIKE SERIES 5 WITH MOMENTUM PIN,SAVANT,0.0,0.0,0.0,0.0,0.0,Matched - price identical
11202103,2N MINI ELECTRONIC DOORSTRIKE SERIES 5 WITH MECHANICAL BLOCKING,SAVANT,0.0,0.0,0.0,0.0,0.0,Matched - price identical
11202104,2N MINI ELECTRONIC DOORSTRIKE SERIES 5 DOOR SIGNALING,SAVANT,0.0,0.0,0.0,0.0,0.0,Matched - price identical
11202105,2N MINI ELECTRONIC DOORSTRIKE SERIES 5 FAIL SAFE,SAVANT,0.0,0.0,0.0,0.0,0.0,Matched - price identical
11202106,2N MINI ELECTRONIC DOORSTRIKE SERIES 5,SAVANT,0.0,0.0,0.0,0.0,0.0,Matched - price identical
12BSPKP10,PLANETWAVES 12AWG Speaker Connector,Planetwaves,1361.74,1361.74,0.0,953.22,0.0,Matched - price identical
14BSPKP10,PLANETWAVES 14AWG Speaker Connector,Planetwaves,1361.74,1361.74,0.0,953.22,0.0,Matched - price identical
16BSPKP10,PLANETWAVES 16AWG Speaker Connector,Planetwaves,1361.74,1361.74,0.0,953.22,0.0,Matched - price identical
300317-0-0,TWEETER MODULE IKON MK2 LARGE,Dali,2947.83,2947.83,0.0,1768.7,0.0,Matched - price identical
350319-0-0,WOOFER OPTICON 5 & VOKAL 6.5 spare part,Dali,1730.43,1730.43,0.0,1038.26,0.0,Matched - price identical
360163-2-0,MAIN 2 AMP,Dali,513.04,513.04,0.0,307.83,0.0,Matched - price identical
370039-0-0,MAINS ADAPTER KATCH IN BOX,Dali,513.04,513.04,0.0,307.83,0.0,Matched - price identical
370212-0-0,REMOTE CONTROL ZENSOR AX,Dali,339.13,339.13,0.0,203.48,0.0,Matched - price identical
383610,DALI CONNECT STAND E-600 BLACK Pair,Dali,4346.96,4346.96,0.0,2608.17,0.0,Matched - price identical
383611,DALI CONNECT STAND E-600 WHITE,Dali,4346.96,4346.96,0.0,2608.17,0.0,Matched - price identical
3SBL,In/Outdoor 3 Stereo,Jamo,5643.48,5643.48,0.0,3386.09,0.0,Matched - price identical
3SWH,In/Outdoor 3 Stereo,Jamo,5643.48,5643.48,0.0,3386.09,0.0,Matched - price identical
