sku,description,sales_price,cost
HDBTLFFMS4422K,Pulse 8 Neo4 Pro (Kit),39304.35,27120.0
HDBTLFFMN68AK,Pulse 8 Neo6A (Kit),80956.52,55860.0
HDBTLFFMN810AK,Pulse 8 Neo8A (Kit),102086.96,70440.0
HDBTLEXSET,Pulse 8 NeoLite,6260.87,4320.0
HDBTLRX,Pulse 8 NeoLite RX,4173.91,2880.0
HDBT2PEXSET,Pulse 8 NeoPro,12434.78,8580.0
PRO16,Pulse 8 ProAudio 16,62521.740000000005,43140.0
PRO1632,Pulse 8 ProAudio 1632,160086.96000000002,110460.0
PRO8,Pulse 8 ProAudio 8,40086.96,27660.0
P84REMOTE,Pulse8 P8-4 Remote push button 4x4 model,565.22,390.0
P88REMOTE,Pulse8 P8-8 Remote Push Button 8x10model,652.17,450.0
P8IRPACK,Pulse8 P8-IR-Pack,565.22,390.0
A-SS20,QED 2Way Parallel Speaker Switch,4173.91,2880.0
A-SS30,QED 3Way Series/Parallel Speaker Switch,5452.17,3762.0
A-SS40,QED 4Way Series/Parallel Speaker Switch,6469.57,4464.0
QE1810,QED Airloc ABS 4mm Plug (20 Pack),3582.6099999999997,2472.0
QE1910,QED Airloc Metal 4mm Plug (20 Pack),5365.219999999999,3702.0
QE8124,QED Connect 3.5mm Jack-Jack 1.5m,234.78,162.0
QE8127,QED Connect 3.5mm Jack-Jack 3m,278.26,192.0
QE8111,QED Connect 3.5mm Jack-Phono 0.75m,252.17,174.0
QE8114,QED Connect 3.5mm Jack-Phono 1.5m,278.26,192.0
QE8117,QED Connect 3.5mm Jack-Phono 3m,295.65,204.0
QE8101,QED Connect Audio 0.75m,234.78,162.0
QE8104,QED Connect Audio 1.5m,252.17,174.0
QE8107,QED Connect Audio 3m,295.65,204.0
QE8164,QED Connect HDMI 1.5m,347.83,240.0
QE8167,QED Connect HDMI 3m,460.87,318.0
QE8174,QED Connect Optical 1.5m,234.78,162.0
QE8177,QED Connect Optical 3m,252.17,174.0
QE8254,QED Connect Speaker Cable 6m,478.26,330.0
QE8144,QED Connect Subwoofer 3m,417.39,288.0
QE8147,QED Connect Subwoofer Cable 6m,504.34999999999997,348.0
QE1484,QED Genesis Preterm Speaker Cable 3m,10173.91,7020.0
QE1486,QED Genesis Preterm Speaker Cable 5m,15391.300000000001,10620.0
QE6036,QED Perf Optical Ultra HS HDMI 10M,4000.0,2760.0
QE6037,QED Perf Optical Ultra HS HDMI 12M,4513.04,3114.0
QE6038,QED Perf Optical Ultra HS HDMI 15M,4939.13,3408.0
QE6039,QED Perf Optical Ultra HS HDMI 20M,6217.389999999999,4290.0
QE6035,QED Perf Optical Ultra HS HDMI 7.5M,3495.6499999999996,2412.0
QE6023,QED Performance Active HDMI 12m HS,4434.78,3060.0
QE6113,QED Performance Audio 40i 1m,1426.09,984.0
QE6115,QED Performance Audio 40i 2m,1904.35,1314.0
QE6117,QED Performance Audio 40i 3m,2356.52,1626.0
QE6101,QED Performance Audio Graphite 1m,895.65,618.0
QE6102,QED Performance Audio Graphite 3m,1365.22,942.0
QE6200,QED Performance Digital Audio 1m,1365.22,942.0
C-QM/30,QED Performance Micro (30m),2556.52,1764.0
QE6601,QED Performance Optical 1.5M Graphite,1365.22,942.0
QE6603,QED Performance Optical Graphite 3m,1617.3899999999999,1116.0
C-QO/100,QED Performance Original (100m),13043.480000000001,9000.0
C-QBO/50,QED Performance Original BiWire (50m),13043.480000000001,9000.0
QE6302,QED Performance Subwoofer 10m,2982.6099999999997,2058.0
QE6300,QED Performance Subwoofer 3m,1304.35,900.0
QE6301,QED Performance Subwoofer 6m,2113.04,1458.0
QE1325,QED Performance XT25 Speaker Cable 50m,8286.96,5718.0
C-42/100B,QED Profile 42 Strand 100m (Black),3904.35,2694.0
C-42/100W,QED Profile 42 Strand 100m (White),3904.35,2694.0
C-79/100B,QED Profile 79 Strand 100m (Black),7147.83,4932.0
C-79/100W,QED Profile 79 Strand 100m (White),7147.83,4932.0
QE2707,QED Profile Audio 5m,1478.26,1020.0
QE2741,QED Profile EFlex HDMI 1m,652.17,450.0
QE2743,QED Profile Eflex HDMI 1.5m,730.43,504.0
QE2745,QED Profile Eflex HDMI 2m,791.3,546.0
QE2737,QED Profile J2J 5m,817.39,564.0
QE2717,QED Profile J2P 1m,443.48,306.0
QE2723,QED Profile J2P 5M,678.26,390.0
QE2713,QED Profile Optical 3m,608.6999999999999,420.0
QE2715,QED Profile Optical 5m,956.52,660.0
QE3282,QED Ref Analoque XLR 40 1m,4713.04,3252.0
QE3284,QED Ref Analoque XLR 40 3m,6173.91,4260.0
QE2453,QED Reference Audio 40 1m,3234.7799999999997,2232.0
QE2455,QED Reference Audio 40 3m,4000.0,2760.0
QE3212,QED Reference Digital Audio 40 1m,2600.0,1794.0
QE3214,QED Reference Digital Audio 40 3m,3086.96,2130.0
QE3330,QED Reference Optical Quartz 3.0m,4939.13,3408.0
QE3320,QED Reference Quartz Optical 2m,3747.83,2586.0
C-QSAXT/100,QED Reference Silver Anniversary XT,22695.65,15660.0
C-QSAXTBW/50,QED Reference Silver Anniversary XT Bi,22695.65,15660.0
QE3234,QED Reference Subwoofer 40 10m,4391.3,3030.0
QE3230,QED Reference Subwoofer 40 3m,2356.52,1626.0
QE3232,QED Reference Subwoofer 40 6m,3330.43,2298.0
QE1350,QED Reference XT40 XTube Spk Cable,15304.35,10560.0
C-XT400/50,QED Reference XT400 XTUBE Spk Cable,41478.26,28620.0
QE1440,QED Revltn Preterm Speaker Cable (2m),4165.219999999999,2874.0
QE1442,QED Revltn Preterm Speaker Cable (3m),5452.17,3762.0
QE1444,QED Revltn Preterm Speaker Cable (5m),8173.91,5640.0
QE1880,QED Screwloc ABS 4mm Plug 2Red/2Blk,660.87,456.0
QE1885,QED Screwloc ABS 4mm Plug 5Red/5Blk,1617.3899999999999,1116.0
QE1890,QED Screwloc ABS DUO Spade 2Red/2Blk,852.17,588.0
QE2445,QED Signature Audio 40 1M,6173.91,4260.0
QE2448,QED Signature Audio 40 3M,8286.96,5718.0
C-GNSS/50,QED Signature Genesis Silver Spiral,64956.520000000004,44820.0
C-GNSSBW/30,QED Signature Genesis Silver Spiral Bi,78000.0,53820.0
QE0004,QED Signature Supremus 3m,32521.74,22440.0
QE0005,QED Signature Supremus 4m,41478.26,28620.0
QE1430,QED Silver XT Preterm speaker cable (2m),2730.43,1884.0
QE1432,QED Silver XT Preterm speaker cable (3m),3321.74,2292.0
QE1434,QED Silver XT Preterm speaker cable (5m),4086.9599999999996,2820.0
QE1330,QED XT25 BiWire Spk Cable 30m,9913.039999999999,6840.0
QE1460,QED XT25 Preterm Speaker Cable (2m),2034.78,1404.0
QE1462,QED XT25 Preterm Speaker Cable (3m),2356.52,1626.0
QE1464,QED XT25 Preterm Speaker Cable (5m),3086.96,2130.0
QE1451,QED XT40i Preterm Speaker Cable (2m),3330.43,2298.0
QE1453,QED XT40i Preterm Speaker Cable (3m),3904.35,2694.0
QE1455,QED XT40i Preterm Speaker Cable (5m),5200.0,3588.0
WS-XL04-i7,"Quad HDMI output operator workstation. I7, 16GB RAM, 512GB SSD, RTX 3050 Nvidia video card",37357.1428571429,26150.0
RMB-0025-00,RACK MOUNT BRACKET FOR SMARTCONTROL 25,1493.04,895.8299999999999
RC-911R,RC-911R REMOTE,1382.61,1036.96
RCA-AUD,RCA F to audio 3.5 converter,8.69,5.99
RCC1000-SA,RCC 1000 SUBWOOFER AMPLIFIER,27206.960000000003,16324.18
RECMCEXPLORA3-UL,RECEIVER MULTICHOICE EXPLORA ULTRA STANDALONE,3667.1899999999996,2347.0
CLI-PTAC1K1-00,"RELAY MODULE FOR PTAC WITH ONE 6-PORT CLIMATE RELAY (W1, W2, Y1, Y2, G, O) AND ONE 10K THERMISTOR IN",7924.349999999999,4754.61
CLI-REL1AUX1-00,"RELAY MODULE WITH ONE 6-PORT CLIMATE RELAY (W1, W2, Y1, Y2, G, O) AND ONE AUX RELAY (NO, NC, COM)",7924.349999999999,4754.61
CLI-AUX3-00,"RELAY MODULE WITH THREE AUX RELAY (NO, NC, COM)",7924.349999999999,4754.61
370212-0-0,REMOTE CONTROL ZENSOR AX,339.13,203.48
SST-TEMP1-00,REMOTE TEMPERATURE SENSOR (FLUSH MOUNT),2297.39,1378.4399999999998
PK-EM2G,RF 3D Emitter,2434.7799999999997,1704.35
PK-AG3G,RF 3D Glass,4652.17,3256.52
TOOL-RJ45,RJ11 / RJ 45 CRIMP TOOL,362.5,250.0
NET-BOOT-BLACK-LQ-N2-02-01,RJ45 BOOT BLACK PBB02-A,3.5,2.45
RJ45A,RJ45 Barrel Connector Female to Female,14.0,10.0
NET-CAT6WALL-LQ,RJ45 CAT6 WALL BOX LQ (LKE101-C6U),50.0,35.0
